COURSE_CODE,COURSE_NAME,GRADE,CREDITS
XC5072,UNIX INTERVALS,A+,3
XC5501,CRYPTOGRAPHY AND DATA SECURITY,U,4
XC5551,SOFTWARE ENGINEERING,U,3
XC5552,DESIGN AND ANALYSIS OF ALGORITHM,B+,4
XC5561,SOFTWARE DEVELOPMENT LABORATORY,A+,2
XT5074,OPEN SOURCE SYSTEMS,B+,3
XT5551,DATA WAREHOUSING AND MINING,U,5
