COURSE_CODE,COURSE_NAME,GRADE,CREDITS
CY5253,CHEMISTRY OF MATERIALS,C,4
HS5252,TECHNICAL COMMUNICATION,A+,3
MA5251,TRANSFORM TECHNIQUES AND PARTIAL DIFFERENTIAL EQUATIONS,A,4
XC5251,OBJECT ORIENTED PROGRAMMING IN C++,B+,4
XC5252,DATA STRUCTURES,B,3
XC5253,COMPUTER ARCHITECTURE,U,3
XC5261,DATA STRUCTURES LABORATORY,U,2
