COURSE_CODE,COURSE_NAME,GRADE,CREDITS
HS5152,COMMUNICATION ENGLISH,A,3
HS5161,COMMUNICATION SKILL LABORATORY,A,2
MA5151,CALCULUS,A,4
PH5152,APPLIED PHYSICS,A,4
XC5151,DIGITAL SYSTEMS,C,4
XC5152,PROBLEM SOLVING AND C PROGRAMMING,B+,3
XC5161,C PROGRAMMING LABORATORY,A,2
