COURSE_CODE,COURSE_NAME,GRADE,CREDITS
MA5351,LOGIC AND ABSTRACT ALGEBRA,A,4
XC5253,COMPUTER ARCHITECTURE,C,3
XC5261,DATA STRUCTURES LABORATORY,A,2
XC5351,COMBINATORICS AND GRAPH THEORY,A,4
XC5352,MICROPROCESSOR AND APPLICATIONS,A,4
XC5353,OPERATING SYSTEMS,B+,3
XC5354,SIGNALS AND SYSTEMS,A,4
XC5361,OPERATING SYSTEMS LABORATORY,O,2
XC5362,PYTHON PROGRAMMING LABORATORY,A,2
